Molecule_ID,E_ST,condition E_ST,S?,condition S?,T?,condition T?
TADF-M-02467,540,hexane,3240,hexane,2700,ethanol
TADF-M-02468,640,hexane,2840,hexane,2200,ethanol
TADF-M-02469,570,hexane,3050,hexane,2480,ethanol
TADF-M-02470,850,hexane,3210,hexane,2360,ethanol
TADF-M-02471,1060,hexane,3540,hexane,2480,ethanol
TADF-M-02472,400,hexane,3420,hexane,3020,ethanol
TADF-M-02473,800,hexane,3620,hexane,2820,ethanol
TADF-M-02474,360,hexane,3330,hexane,2970,ethanol
TADF-M-00724,,,2470,THF,2360,THF
TADF-M-00725,,,2480,THF,2360,THF
TADF-M-02475,200,zeonex,3280,zeonex,3080,zeonex
TADF-M-02388,90,zeonex,3170,zeonex,3080,zeonex
TADF-M-02476,240,zeonex,3000,zeonex,2760,zeonex
TADF-M-02477,180,THF,2990,THF,2810,THF
TADF-M-02478,580,THF,3680,THF,3060,THF
TADF-M-01406,130,toluene,,,,
TADF-M-01256,120,toluene,,,,
TADF-M-02479,140,toluene,,,,
TADF-M-02480,400,toluene,,,,
TADF-M-02481,310,toluene,,,,
TADF-M-02482,290,toluene,,,,
TADF-M-02483,270,toluene,,,,
TADF-M-02484,210,toluene,,,,
TADF-M-02485,190,toluene,,,,
TADF-M-02486,160,toluene,,,,
TADF-M-02487,130,toluene,,,,
TADF-M-00814,590,neat film,,,,
TADF-M-00815,180,neat film,,,,
TADF-M-00816,50,neat film,,,,
TADF-M-02489,190,toluene,2440,toluene,2250,toluene
TADF-M-00820,50,toluene,2880,toluene,2830,toluene
TADF-M-00821,40,toluene,2940,toluene,2900,toluene
TADF-M-02490,90,toluene,,,,
TADF-M-02491,190,toluene,,,,
TADF-M-00858,140,neat film,,,2110,toluene
TADF-M-00859,110,neat film,,,2320,toluene
TADF-M-00860,340,neat film,,,2330,toluene
TADF-M-00861,30,neat film,,,2500,toluene
TADF-M-00862,20,neat film,,,2740,toluene
TADF-M-00863,100,neat film,,,2410,toluene
TADF-M-00857,190,mCP,,,,
TADF-M-00874,,,3000,THF,2780,THF
TADF-M-00880,,,,,3120,toluene
TADF-M-02510,,,3480,toluene,3020,toluene
TADF-M-02511,,,3470,toluene,3040,toluene
TADF-M-00891,270,PMMA,,,2490,PMMA
TADF-M-00892,17,DOBNA-OAr,2650,toluene,2640,PMMA
TADF-M-00893,210,PMMA,,,2570,PMMA
TADF-M-00658,250,PMMA,,,2540,PMMA
TADF-M-00894,240,PMMA,,,2490,PMMA
TADF-M-00900,80,CBP,,,,
TADF-M-00901,30,CBP,,,,
TADF-M-00895,170,mCP,2480,mCP,2310,mCP
TADF-M-00898,150,toluene,,,,
TADF-M-00899,170,toluene,,,,
TADF-M-02518,60,toluene,,,,
TADF-M-02519,50,toluene,,,,
TADF-M-02520,110,toluene,,,,
TADF-M-02521,120,toluene,,,,
TADF-M-00907,60,toluene,2920,toluene,2860,toluene
TADF-M-00185,50,toluene,3060,toluene,3010,toluene
TADF-M-01018,230,toluene,3160,toluene,2930,toluene
TADF-M-01019,140,toluene,3060,toluene,2920,toluene
TADF-M-00921,130,toluene,,,,
TADF-M-00922,120,toluene,,,,
TADF-M-02529,120,zeonex,,,,
TADF-M-00927,26,TCTA,,,,
TADF-M-00928,23,TCTA,,,,
TADF-M-00929,23,mCP,2725,mCP,2702,mCP
TADF-M-00930,189,neat film,2762,neat film,2573,neat film
TADF-M-00931,166,neat film,2749,neat film,2583,neat film
TADF-M-02536,170,toluene,2920,toluene,2760,toluene
TADF-M-02537,190,toluene,2990,toluene,2800,toluene
TADF-M-00939,30,toluene,3110,toluene,3080,toluene
TADF-M-00940,210,toluene,3260,toluene,3050,toluene
TADF-M-01031,180,PMMA,,,,
TADF-M-02538,190,PMMA,,,,
TADF-M-02539,170,PMMA,,,,
TADF-M-02540,130,PMMA,,,,
TADF-M-00960,186.2,toluene,2654.9,toluene,2468.7,toluene
TADF-M-02550,64,toluene,2600,toluene,2530,toluene
TADF-M-02551,28,toluene,2340,toluene,2310,toluene
TADF-M-00964,100,toluene,,,,
TADF-M-00427,110,zeonex,,,,
TADF-M-00976,260,toluene,,,,
TADF-M-00977,370,toluene,,,,
TADF-M-02555,81,TCTA,,,,
TADF-M-02556,91,TCTA,,,,
TADF-M-02557,70,TCTA,,,,
TADF-M-02558,75,TCTA,,,,
TADF-M-00979,460,zeonex,,,,
TADF-M-00980,260,zeonex,,,,
TADF-M-00981,400,zeonex,,,,
TADF-M-00982,520,zeonex,,,,
TADF-M-00983,480,zeonex,,,,
TADF-M-00984,210,MeCN,2960,mCP,2770,mCP
TADF-M-00985,220,MeCN,2970,mCP,2730,mCP
TADF-M-00986,270,MeCN,2960,mCP,2810,mCP
TADF-M-00987,7.6,toluene,3080,toluene,3070,toluene
TADF-M-00856,410,toluene,3170,toluene,2760,toluene
TADF-M-02559,,,3430,toluene,3060,toluene
TADF-M-02560,,,3440,toluene,3070,toluene
TADF-M-00988,50,toluene,2870,toluene,2820,toluene
TADF-M-00989,120,toluene,2870,toluene,2750,toluene
TADF-M-00990,10,toluene,2820,toluene,2810,toluene
TADF-M-00991,-110,toluene,2790,toluene,2900,toluene
TADF-M-02561,50,neat film,2960,neat film,2810,neat film
TADF-M-02562,150,neat film,2860,neat film,2810,neat film
TADF-M-00992,190,CBP,,,,
TADF-M-00993,100,CBP,,,,
TADF-M-00999,140,THF,2800,THF,2660,THF
TADF-M-01000,190,PPF,3110,PPF,2920,PPF
TADF-M-01001,170,PPF,3130,PPF,2960,PPF
TADF-M-01002,180,PPF,3130,PPF,2950,PPF
TADF-M-01003,190,PPF,3160,PPF,2970,PPF
TADF-M-00198,140,ethanol,,,,
TADF-M-00199,140,mCBP,,,,
TADF-M-01030,140,toluene,,,,
TADF-M-01032,190,DOBNA-OAr,,,,
TADF-M-01046,270,PPF,,,,
TADF-M-01047,200,PPF,,,,
TADF-M-01048,200,PPF,,,,
TADF-M-01049,220,PPF,,,,
TADF-M-02563,,,3700,toluene,3060,toluene
TADF-M-02564,,,3660,toluene,3050,toluene
TADF-M-02565,,,3470,toluene,2950,toluene
TADF-M-01050,90,THF,2910,THF,2820,THF
TADF-M-01051,10,THF,2760,THF,2750,THF
TADF-M-01052,380,THF,3160,THF,2780,THF
TADF-M-02566,,,3120,THF,2550,THF
TADF-M-02567,,,3050,THF,2590,THF
TADF-M-01057,120,toluene,3080,toluene,2960,toluene
TADF-M-01058,20,toluene,3020,toluene,3000,toluene
TADF-M-01059,180,THF,2830,THF,2650,THF
TADF-M-01060,410,THF,2990,THF,2580,THF
TADF-M-01061,50,toluene,,,,
TADF-M-01062,40,toluene,,,,
TADF-M-01063,20,toluene,,,,
TADF-M-02568,35,DPEPO,2890,DPEPO,2860,DPEPO
TADF-M-02569,50,DPEPO,2950,DPEPO,2900,DPEPO
TADF-M-01064,520,THF,,,,
TADF-M-01065,400,THF,,,,
TADF-M-01066,240,THF,,,,
TADF-M-01069,130,toluene,,,,
TADF-M-01070,140,toluene,,,,
TADF-M-01071,140,toluene,,,,
TADF-M-02580,250,BCPO,2970,BCPO,2710,BCPO
TADF-M-02601,,,3460,THF,3010,THF
TADF-M-02602,,,3420,THF,2810,THF
TADF-M-02603,,,3420,THF,2770,THF
TADF-M-01193,20,CBP,,,,
TADF-M-00056,150,toluene,2940,toluene,2790,toluene
TADF-M-00054,190,toluene,2980,toluene,2790,toluene
TADF-M-00055,160,toluene,2950,toluene,2790,toluene
TADF-M-00210,130,toluene,,,2870,toluene
TADF-M-01197,95,toluene,,,2860,toluene
TADF-M-01198,78,toluene,,,2850,toluene
TADF-M-01180,60,mCP,,,2610,mCP
TADF-M-01181,110,mCP,,,2580,mCP
TADF-M-01207,80,toluene,,,,
TADF-M-00649,180,mCP,2600,mCP,2420,mCP
TADF-M-00650,190,mCP,2630,mCP,2440,mCP
TADF-M-01209,300,THF,3100,THF,2800,THF
TADF-M-01210,300,THF,3120,THF,2820,THF
TADF-M-01211,270,THF,3110,THF,2840,THF
TADF-M-01212,270,THF,3080,THF,2810,THF
TADF-M-01213,200,THF,3010,THF,2810,THF
TADF-M-01214,120,mCP,2850,mCP,2730,mCP
TADF-M-01215,90,mCP,2640,mCP,2550,mCP
TADF-M-01217,640,neat film,3100,neat film,2460,neat film
TADF-M-01218,280,neat film,2670,neat film,2360,neat film
TADF-M-01219,110,mCP,2670,mCP,2560,mCP
TADF-M-01220,220,mCP,2720,mCP,2500,mCP
TADF-M-01221,190,mCP,2670,mCP,2480,mCP
TADF-M-02605,30,neat film,,,,
TADF-M-02606,30,neat film,,,,
TADF-M-01753,280,neat film,3140,neat film,2860,neat film
TADF-M-02619,210,neat film,2850,neat film,2640,neat film
TADF-M-02620,20,mCP,2650,mCP,2630,mCP
TADF-M-02621,30,mCP,2710,mCP,2680,mCP
TADF-M-02622,60,mCP,2820,mCP,2760,mCP
TADF-M-02623,130,mCP,2870,mCP,2740,mCP
TADF-M-02624,2,mCP,2517,mCP,2515,mCP
TADF-M-02626,680,toluene,,,2440,toluene
TADF-M-02627,540,toluene,,,2440,toluene
TADF-M-02628,360,toluene,,,2440,toluene
TADF-M-02630,90,THF,,,,
TADF-M-01240,150,PMMA,,,,
TADF-M-01241,90,PMMA,,,,
TADF-M-01242,70,PMMA,,,,
TADF-M-01301,140,toluene,2550,toluene,2410,toluene
TADF-M-01251,40,toluene,,,,
TADF-M-01252,530,toluene,,,,
TADF-M-01322,50,toluene,,,,
TADF-M-02633,60,toluene,,,,
TADF-M-02634,70,toluene,,,,
TADF-M-02635,50,toluene,,,,
TADF-M-02636,20,toluene,,,,
TADF-M-02637,20,toluene,,,,
TADF-M-02642,130,toluene,3080,toluene,2950,toluene
TADF-M-02643,60,toluene,3010,toluene,2950,toluene
TADF-M-02644,20,toluene,2950,toluene,2930,toluene
TADF-M-00493,320,DPEPO,3010,toluene,2580,toluene
TADF-M-01079,,,2910,toluene,2530,toluene
TADF-M-01080,70,toluene,,,,
TADF-M-01081,120,toluene,,,,
TADF-M-01082,90,toluene,,,,
TADF-M-01083,100,toluene,,,,
TADF-M-01084,200,toluene,2170,toluene,1970,toluene
TADF-M-00214,,,3260,toluene,,
TADF-M-01090,,,3220,toluene,,
TADF-M-01091,,,3350,toluene,,
TADF-M-00212,370,toluene,3280,toluene,,
TADF-M-01092,,,3280,toluene,,
TADF-M-01093,80,toluene,2710,toluene,2630,toluene
TADF-M-01094,70,toluene,2660,toluene,2590,toluene
TADF-M-01095,170,toluene,2830,toluene,2660,toluene
TADF-M-01096,180,toluene,2850,toluene,2670,toluene
TADF-M-01099,70,toluene,,,,
TADF-M-01101,,,3080,toluene,1950,toluene
TADF-M-01102,,,3060,toluene,1960,toluene
TADF-M-01103,,,3180,toluene,2880,toluene
TADF-M-00753,60,neat film,,,,
TADF-M-00754,90,neat film,,,,
TADF-M-02586,20,toluene,,,,
TADF-M-02587,30,toluene,,,,
TADF-M-02588,40,toluene,,,,
TADF-M-01109,90,toluene,,,,
TADF-M-02157,100,toluene,2900,toluene,2800,toluene
TADF-M-02592,110,toluene,2940,toluene,2830,toluene
TADF-M-02593,80,toluene,2900,toluene,2820,toluene
TADF-M-01383,160,THF,,,,
TADF-M-01297,170,THF,,,,
TADF-M-01110,90,toluene,,,,
TADF-M-01111,30,toluene,,,,
